1691821336# #盛总要不身先士卒再生一个吧，我给你个小目标——子女数量赶上产品数量哈哈
1696339234# #轻松甩锅三部曲之基金版。。1、嘿嘿，听说这个基金经理是YYDS。2、你不早说，原来基金是可以亏钱的啊。3、买基金亏那么多钱当然不能怪我，只能我怪基金经理，我又不懂……
1703051096# #我始终还是那个我，不割韭菜，想和粉丝互利共赢的初心从未改变.......
1696666538# #我用的择时方法就是我现在每周都在说的“股债性价比”，这下信了吧
1699603004# #观察一下身边过得好的人，层次高的人，你就会发现他们都有一个共同点。。就是他们明明知道有些事有些人不行，但是他不提醒、不指点、不说教。。原因很简单，有些事你教会了，但是把你自己的运气给了别人，强者选择原谅，智者惜口，愚者指点江山。。换个角度来说，聪明的不用教，蠢的教不会，倔的不会听，你很
1698649947# #基金超话。随着诈骗行业的发展，诈骗维权产业链也欣欣向荣了起来。。要论“夸大宣传、虚假宣传”，某些持牌机构真是不冤枉。。比如“拿10万炒股多少时间可以变成100万？”
1697020216# #晚上7点直播前的晚餐，711晚上6点之后买盒饭还能优惠3块钱。。葛朗台明天又能多3块钱加仓了嘻嘻嘻嘻嘻嘻
1693835563# #哎，出净值出得真慢。。PS：你们知道我说的是哪家.......
1690532457# #股债性价比+库存周期+股市牛熊周期
1700815270# #基金超话。转。我来总结一下北交所的优缺点，大家做个参考。优点：没有北上资金，没有监管。。缺点：没有我
1700035579# #感谢粉丝们的支持与喜爱心，我是，正在参加财经财商百大博主评选～11月7日-11月20日期间，订阅我的VPlus并成功分享加热，即可每日获得抽奖资格，最高可得888元红包，100%中奖，快来为我打CALL助力吧→抽奖指引→
1701870478# #不装懂王，不装专家，我觉得小鱼干还是挺真诚的
1695265121# #基金超话。话说，如果一个市值几百亿的上市公司董事长给你年薪500万，对你的要求是“市值增长500亿”，做不到的话就一年内甚至试用期走人。。那这样的董事长在你眼里是大方还是小气？。。可能更多的人看到的是“年薪500万”，而我看到的是500万除以500亿等于万分之一，老板算盘打得精，把你当成能撬动1
1697508901# #按照米国的发展，指数应该是长期向上的，然而........
1700491314# #足球键盘侠喷武磊单刀时候的潜台词是——这球给我都进了.......但很少换位思考，换成你能在球场上跑出这个么单刀球的机会吗？这思维习惯和股民认为“散户比基金经理炒股强”其实是如出一辙的......
1690899474# #基金超话。转。拉1个涨停，a股股民就能跟你聊什么是超导；。拉2个涨停，股民就能帮你疏通超导全产业链；。拉3个涨停，股民就敢反驳科学家实验结果；。敢拉翻倍，a股股民手把手教科学家怎么制作出超导材料
1703212462# #大哥严重缺乏常识啊，100亿规模的基金按照100亿的规模收管理费，跌到50亿规模自然就按50亿收管理费，所以净值跌50%管理费下降一半，涨100%管理费多一倍，本来就是跟着基金净值走得好不好
1696848825# #每次看到张之臻的身高，我都会心生羡慕。人家老爸张卫华身高1米85，儿子张之臻1米93；我老爸1米86，结果从小给我吃得抠抠搜搜，身高落得只有个1米81，我小时候去少体校测骨龄，都是187+，哎，严重低于预期的感觉你们谁懂..........
1692001783# #基金超话。晴天霹雳啊，家里碎钞机真费钱，洗个牙发现要咬合功能有问题，需要矫正牙齿，又要花个2-3万。。哎，费钱程度堪比我的基金啊.......
1694105611# #基金超话。今天就靠红利来控制组合回撤了苦涩
1701707477# #基金超话。南华丰汇这盆菜，今天之后就不能说是微盘股策略了吧？。。明显有主观选股成份在里边了……
1691496848# #基金超话。坏消息好像有点肺炎。。好消息感觉这周可以躺平了，短视频暂停更新笑cry
1694394000# #基金超话。【政策真空期，市场重回存量博弈格局——“股债性价比”每周跟踪20230911】。（图1）上周北向资金连续第5周流出，上周合计流出47亿，流出态势有所趋缓；从风格因子（图2）来看，价值风格持续领先成长，在后续加快保险资金入市等政策催化下，不排除价值因子相对成长因子的超额收益继续走强
1701239936# #我其实就是喜欢设一个“踮脚就能够到”的目标，不喜欢好高骛远比如“上证50今年历史新高”这种
1690709070# #基金超话。记得我21年下半年在外边路演的时候，我一直说一句话叫做“未来10年基金大概率跑赢房价”。。没想到过去几年基金和房价是以“相互比惨”的方式在赛跑的，而且后者对于大多数人来说还是带着杠杆的比惨赛跑。。每年中国70%以上的一手房成交面积集中在二线以下城市，对于“未来10年基金跑赢房价
1692165121# #基金超话。消费研究员一句话形容当前消费现状——骑着自行车去酒吧，该省省该花花
1698734835# #干了十几年证券基金从业，从来没想到主题可以炒到少儿不宜🔞的话题二哈二哈二哈
1690461100# #基金超话。转盛总观点。。什么时候最适合配量化基金？。。1、小市值明显跑赢大市值的时期。2、量化基金规模还不是很大的时候。。所以盛总的西部利得量化成长非常难能可贵的是在2020年“核心资产行情”时期还跑赢了885001，这在当年对量化基金是挺难的
1696142555# #香港万得通讯社报道，美国众议院和参议院投票避免了当地ZF关门，在一些人士支持下通过了延长美国ZF拨款至11月中旬的法案。。。根据央视新闻，当地时间9月30日，美国参议院以足够票数通过为期45天的短期支出法案，该法案为政府提供自然灾害援助资金，避免ZF发生停摆。。。当天稍早，美国众议院以335票赞成、
1691045288# #市场风格变化的关键看这里基金超话带着微博去都市写给夏天
1703831590# #骑行超话。《我觉得我现在俨然是“自行车运动首席推销官”》。。昨天晚上和我在群里打赌，看谁“体重先减10斤”，俺欣然允诺。到了今天早上声哥就反悔了，觉得自己整天吃吃喝喝减不了10斤，俺立马安利声哥“还是骑车锻炼”吧，声哥表示“骑车伤腰”，对于这种小理由我这个“自行车运动首席
1700583420# #看看第五张图，千万别说国足孩子们不拼，单纯就是能力不足完败而已。两个定位球失球一个点球，曾经国足引以为傲的头球，也早已落后韩国好几个档次，所以别说什么“恐韩症”了，咱们不配……
1698299645# #基金超话。最快11月底12月初，我应该就会把发车品种从最近的“exA股”，变回A股了。。不过发车节奏依然还是“控速”，还需要等到更成熟的条件我才会加速,............
1696058679# #基金超话。【美国基金投顾市场规模发展趋势如何？】。美国基金投顾管理规模总体呈上涨态势，受市场影响2022年规模下跌，委托形式以全委托为主。。。在管理规模方面，AUM增速和标普500指数的涨跌幅高度趋同，基金投顾规模和股市的表现高度相关。基金投顾规模在2002、2008和2022三个年份分别下
1698826205# #刚才招行信用卡中心打电话给我，说过去一年都是信用卡大额消费，希望尽量用于“生活用途”，并且每个月不用全部把款还上，分几个月还。。这是什么新套路？换一种说法让我分期还款付手续费吗？再说每个月2、3万消费额，对于二娃的1拖9家庭来说很正常吧，每个月盒马买菜都要买个五六千，凭啥说我不是“生活
1698583305# #想想体育在我们这代80后心中的含金量，的确是日渐式微。95年申花夺冠之夜万人空巷，28年后我都不知道原来这个赛季中超快打完了，几个月前才知道家门口的八万人体育场现在驻扎的是申花而不是上港。30年后当中国足球成为亚洲三流，30年前在操场上挥洒着汗水的我们可能更关心的是自己的健康而非中国足球
1697184635# #基金超话。【基金术语官方版vs省流版】。1、最大回撤。官方版：根据Wind的定义，最大回撤是指当产品净值达到所选期间任意历史点的最低点时收益率回撤幅度的最大值。。。省流版：如果不幸在一个时间区间的最高点买入，到最惨的时候你能亏多少钱！。。2、最大回撤恢复时间。官方版：从最大回撤结束时间开
1703736434# #昨天勉强带病直播之后彻底伤了。。BT流得跟瀑布一样，决定这周不带病工作了，歇两天歇两天。。不过如果我新冠+感冒+做直播能带来大阳线的话，那我希望明年还有机会多这么来几次，牺牲我一人，换来大家回本也不亏啊笑cry笑cry笑cry
1701178381# #基金超话。关于短久期美债的第一篇后台文章写完了哈，欢迎取阅..........。。我估计这周要写成连载的，一连写个4-5篇才能彻底说明白
1702042049# #基金超话。粉丝群粉丝云：现在微博随便搜一下，就能找到很多教做ETF波段的大v。。。答：骗子供给量的大幅增加，只能说明傻瓜新增需求量过大，毕竟骗子和傻瓜的关系就像S极和N级一样，相互吸引，唇亡齿寒……
1693548356# #基金超话。【发车通知】。今日执行300车发车计划中的第226车，发车标的《慢慢变富》组合。。建议本车正常跟车，不用补车……。。【风险提示】。请根据自己的风险承受能力选择投资组合，市场有风险，投资需谨慎。
